genres,keywords,title,cast,director
Action Adventure Fantasy Science Fiction,culture clash future space war space colony society,Avatar,Sam Worthington Zoe Saldana Sigourney Weaver Stephen Lang Michelle Rodriguez,James Cameron
Adventure Fantasy Action,ocean drug abuse exotic island east india trading company love of one's life,Pirates of the Caribbean: At World's End,Johnny Depp Orlando Bloom Keira Knightley Stellan Skarsg\u00e5rd Chow Yun-fat,Gore Verbinski
Action Adventure Crime,spy based on novel secret agent sequel mi6,Spectre,Daniel Craig Christoph Waltz L\u00e9a Seydoux Ralph Fiennes Monica Bellucci,Sam Mendes
Action Crime Drama Thriller,dc comics crime fighter terrorist secret identity burglar,The Dark Knight Rises,Christian Bale Michael Caine Gary Oldman Anne Hathaway Tom Hardy,Christopher Nolan
Action Adventure Science Fiction,based on novel mars medallion space travel princess,John Carter,Taylor Kitsch Lynn Collins Samantha Morton Willem Dafoe Thomas Haden Church,Andrew Stanton
Fantasy Action Adventure,dual identity amnesia sandstorm love of one's life forgiveness,Spider-Man 3,Tobey Maguire Kirsten Dunst James Franco Thomas Haden Church Topher Grace,Sam Raimi
Animation Family,hostage magic horse fairy tale musical,Tangled,Zachary Levi Mandy Moore Donna Murphy Ron Perlman M.C. Gainey,Byron Howard
Action Adventure Science Fiction,marvel comic sequel superhero based on comic book vision,Avengers: Age of Ultron,Robert Downey Jr. Chris Hemsworth Mark Ruffalo Chris Evans Scarlett Johansson,Joss Whedon
Adventure Fantasy Family,witch magic broom school of witchcraft wizardry,Harry Potter and the Half-Blood Prince,Daniel Radcliffe Rupert Grint Emma Watson Tom Felton Michael Gambon,David Yates
Action Adventure Fantasy,dc comics vigilante superhero based on comic book revenge,Batman v Superman: Dawn of Justice,Ben Affleck Henry Cavill Gal Gadot Amy Adams Jesse Eisenberg,Zack Snyder
Adventure Fantasy Action Science Fiction,saving the world dc comics invulnerability sequel superhero,Superman Returns,Brandon Routh Kevin Spacey Kate Bosworth James Marsden Parker Posey,Bryan Singer
Adventure Action Thriller Crime,killing undercover secret agent british secret service,Quantum of Solace,Daniel Craig Olga Kurylenko Mathieu Amalric Judi Dench Giancarlo Giannini,Marc Forster
Adventure Fantasy Action,witch fortune teller bondage exotic island monster,Pirates of the Caribbean: Dead Man's Chest,Johnny Depp Orlando Bloom Keira Knightley Stellan Skarsg\u00e5rd Bill Nighy,Gore Verbinski
Action Adventure Western,texas horse survivor texas ranger partner,The Lone Ranger,Johnny Depp Armie Hammer William Fichtner Helena Bonham Carter James Badge Dale,Gore Verbinski
Action Adventure Fantasy Science Fiction,saving the world dc comics superhero based on comic book superhuman,Man of Steel,Henry Cavill Amy Adams Michael Shannon Kevin Costner Diane Lane,Zack Snyder
Adventure Family Fantasy,based on novel fictional place brother sister relationship lion human being,The Chronicles of Narnia: Prince Caspian,Ben Barnes William Moseley Anna Popplewell Skandar Keynes Georgie Henley,Andrew Adamson
Science Fiction Action Adventure,new york shield marvel comic superhero based on comic book,The Avengers,Robert Downey Jr. Chris Evans Mark Ruffalo Chris Hemsworth Scarlett Johansson,Joss Whedon
Adventure Action Fantasy,sea captain mutiny sword prime minister,Pirates of the Caribbean: On Stranger Tides,Johnny Depp Pen\u00e9lope Cruz Ian McShane Kevin McNally Geoffrey Rush,Rob Marshall
Action Comedy Science Fiction,time travel time machine alien fictional government agency seeing the future,Men in Black 3,Will Smith Tommy Lee Jones Josh Brolin Michael Stuhlbarg Emma Thompson,Barry Sonnenfeld
