genres,keywords,title,cast,director,popularity
Action Adventure Fantasy Science Fiction,culture clash future space war space colony society,Avatar,Sam Worthington Zoe Saldana Sigourney Weaver Stephen Lang Michelle Rodriguez,James Cameron,150.437577
Adventure Fantasy Action,ocean drug abuse exotic island east india trading company love of one's life,Pirates of the Caribbean: At World's End,Johnny Depp Orlando Bloom Keira Knightley Stellan Skarsg\u00e5rd Chow Yun-fat,Gore Verbinski,139.082615
Action Adventure Crime,spy based on novel secret agent sequel mi6,Spectre,Daniel Craig Christoph Waltz L\u00e9a Seydoux Ralph Fiennes Monica Bellucci,Sam Mendes,107.37678799999999
Action Crime Drama Thriller,dc comics crime fighter terrorist secret identity burglar,The Dark Knight Rises,Christian Bale Michael Caine Gary Oldman Anne Hathaway Tom Hardy,Christopher Nolan,112.31295
Action Adventure Science Fiction,based on novel mars medallion space travel princess,John Carter,Taylor Kitsch Lynn Collins Samantha Morton Willem Dafoe Thomas Haden Church,Andrew Stanton,43.926995
Fantasy Action Adventure,dual identity amnesia sandstorm love of one's life forgiveness,Spider-Man 3,Tobey Maguire Kirsten Dunst James Franco Thomas Haden Church Topher Grace,Sam Raimi,115.69981399999999
Animation Family,hostage magic horse fairy tale musical,Tangled,Zachary Levi Mandy Moore Donna Murphy Ron Perlman M.C. Gainey,Byron Howard,48.681969
Action Adventure Science Fiction,marvel comic sequel superhero based on comic book vision,Avengers: Age of Ultron,Robert Downey Jr. Chris Hemsworth Mark Ruffalo Chris Evans Scarlett Johansson,Joss Whedon,134.27922900000002
Adventure Fantasy Family,witch magic broom school of witchcraft wizardry,Harry Potter and the Half-Blood Prince,Daniel Radcliffe Rupert Grint Emma Watson Tom Felton Michael Gambon,David Yates,98.885637
Action Adventure Fantasy,dc comics vigilante superhero based on comic book revenge,Batman v Superman: Dawn of Justice,Ben Affleck Henry Cavill Gal Gadot Amy Adams Jesse Eisenberg,Zack Snyder,155.790452
